category;term;reason;suggestions;reference;comment
age;Millennials only;;;;
age;recent graduates;;;;
age;recent graduate;;;;
age;elderly;;;;
age;digital native;;;;
age;Recent;;;;
age;young;;;;
age;Young and energetic;;;;
age;Athletic or athletically inclined;;;;
age;Youthful;;;;
age;Junior;;;;
age;senior;;;;
age;Supplement your retirement income;;;;
age;Great opportunity for student;;;;
age;Mature person wanted;;;;
age;Young-thinking;;;;
age;new wave;;;;
age;energetic person;;;;
age;person  with fresh;;;;
age;innovative ideas;;;;
age;person with fresh innovative ideas;;;;
age;who can connect with youth;;;;
age;athletic;;;;
age;young;;;;
age;recent;;;;
age;new graduate;;;;
age;recent graduate;;;;
age;Geezer;;;;
