category;term;reason;suggestions;reference;comment
general;christmas Days Off;"The term ""christmas days off"" is considered religiously biased as it is associated with Christianity, which might make individuals of other religions or no religion feel excluded.";"""holiday days off”";April 30, 2024 by Heather Barbour in Diversity and Inclusionhttps://blog.ongig.com/diversity-and-inclusion/biased-language-examples/;
racial;coloured people;"The term ""coloured people"" is considered offensive by many due to its historical usage and connotations. ""People of colour"" or ""POC"" were alternatives, but ""BIPOC"" (Black, Indigenous, People of Colour) is now more widely used.";"""people of colour”, “black”, “indigenous”, ""BIPOC (Black, Indigenous, People of Colour)""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;colored people;"The term ""colored people"" is considered offensive due to its historical usage and connotations. ""People of color"" or ""POC"" was an alternative to this biased term, but recently, ""BIPOC"" (Black, Indigenous, People of Color) is more widely used.";"""people of colour”, “black”, “indigenous”, ""BIPOC (Black, Indigenous, People of Colour)"" ";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
sexuality;girls;"The term ""girls"" may inadvertently exclude members of the LGBTQ community by assuming gender; similarly, using binary pronouns like ""he"" or ""she"" can overlook non-binary identities. It's recommended to use gender-neutral alternatives to ensure inclusivity.";"""people,"" ""teammates,"" ""they""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;grandfathered;"The term ""grandfathered in"" carries racial bias due to its origin in ""grandfather clauses"" enacted to disenfranchise African Americans by exempting white voters from strict voting prerequisites.";"""exempt""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;grandfathered in;"The term ""grandfathered in"" carries racial bias due to its origin in ""grandfather clauses"" enacted to disenfranchise African Americans by exempting white voters from strict voting prerequisites.";"""exempt""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;gypped;"The term ""gypped"" is racially insensitive as it derives from negative stereotypes about the Romani people, traditionally referred to as ""Gypsies,"" implying deceitfulness.";"""cheated""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;gipped;"The term ""gipped"" is racially insensitive as it derives from negative stereotypes about the Romani people, traditionally referred to as ""Gypsies,"" implying deceitfulness.";"""cheated""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;gip;"The term ""gip"" is racially insensitive as it derives from negative stereotypes about the Romani people, traditionally referred to as ""Gypsies,"" implying deceitfulness.";"""cheated""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;gyp;"The term ""gyp"" is racially insensitive as it derives from negative stereotypes about the Romani people, traditionally referred to as ""Gypsies,"" implying deceitfulness.";"""cheated""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
sexuality;homosexuals;"The term ""homosexuals"" is considered outdated and offensive by many in the LGBTQ community because it carries implications of pathology, historically used within medical contexts to suggest abnormality. It's more respectful to use ""gay"" or ""lesbian"" when referring to individuals attracted to the same sex, as these terms emphasise normal human behaviour without the medical connotations.";"""gay"", “gay people”, ""lesbian"", “LGBTQ+""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
sexuality;homos;"The term ""homos"" is considered outdated and offensive by many in the LGBTQ community because it carries implications of pathology, historically used within medical contexts to suggest abnormality. It's more respectful to use ""gay"" or ""lesbian"" when referring to individuals attracted to the same sex, as these terms emphasise normal human behaviour without the medical connotations.";"""gay"", “gay people”, ""lesbian"", “LGBTQ+""";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
sexuality;transvestite;"The term ""transvestite"" is outdated and can be offensive as it was historically categorised as a medical disorder under 'transvestism.' The preferred and more respectful term is ""cross-dresser"" which refers to individuals who wear clothing traditionally associated with the opposite gender, without implying any medical pathology.";"“cross-dresser”, “gender nonconforming""";Edge Hill University LGBTQ+ Inclusive Language Guide;https://www.edgehill.ac.uk/wp-content/uploads/documents/lgbtq-inclusive-language-guide3-1.pdf
sexuality;transsexual;"The term ""transsexual"" is often seen as medicalised and can be offensive due to its emphasis on physical transition and alignment with traditional concepts of male and female bodies. It is more respectful to use terms like ""transgender people"" which focus on gender identity rather than medical transition, adhering to identity-first, person-centred language that respects individuals as whole persons rather than categorising them.";"“transgender people”, “LGBTQ+""";Edge Hill University LGBTQ+ Inclusive Language Guide;https://www.edgehill.ac.uk/wp-content/uploads/documents/lgbtq-inclusive-language-guide3-1.pdf
sexuality;ladies and gentlemen;"The phrase ""ladies and gentlemen"" is less inclusive as it relies on a binary view of gender. Instead use gender-neutral terms alternatives to ensure inclusivity.";"""everyone,"" ""you all,"" ""teammates,"" or ""colleagues""";Edge Hill University LGBTQ+ Inclusive Language Guide;https://www.edgehill.ac.uk/wp-content/uploads/documents/lgbtq-inclusive-language-guide3-1.pdf
sexuality;people of both genders;"The phrase ""people of both genders"" implies a binary understanding of gender, which excludes those with non-binary identities. It is more inclusive to use words that acknowledges the diversity of gender experiences and identities.";"""people of all genders"", ""people of all gender identities""";Edge Hill University LGBTQ+ Inclusive Language Guide;https://www.edgehill.ac.uk/wp-content/uploads/documents/lgbtq-inclusive-language-guide3-1.pdf
sexuality;sexual preference;"The term ""sexual preference"" can imply that sexual orientation is a voluntary choice, which is inaccurate and potentially dismissive of the inherent nature of one's sexuality. Instead use words that reflect aspects of identity without suggesting choice.";"""sexual orientation"", ""gender identity""";Edge Hill University LGBTQ+ Inclusive Language Guide;https://www.edgehill.ac.uk/wp-content/uploads/documents/lgbtq-inclusive-language-guide3-1.pdf
sexuality ;lifestyle choice;"The term ""lifestyle choice"" is inappropriate when referring to sexual orientation or gender identity, as it inaccurately implies that these are voluntary decisions. More inclusive to use words that acknowledge these aspects as inherent parts of an individual's identity, devoid of any implication of choice.";"""sexual orientation"", ""gender identity"" ";Edge Hill University LGBTQ+ Inclusive Language Guide;https://www.edgehill.ac.uk/wp-content/uploads/documents/lgbtq-inclusive-language-guide3-1.pdf
racial;illegal aliens;"The term ""illegal aliens"" and its variations, such as ""illegal immigrant"" and ""illegal worker,"" are considered biased and dehumanising towards the migrant community due to their implications of illegality tied to a person's existence. More inclusive to use terms that respect the humanity of individuals without associating their legal status with their personal identity.";"""undocumented people,"" ""immigrants"" ";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
racial;illegal immigrant;"The term ""illegal immigrant"" and its variations, such as ""illegal alien"" and ""illegal worker,"" are considered biased and dehumanising towards the migrant community due to their implications of illegality tied to a person's existence. More inclusive to use terms that respect the humanity of individuals without associating their legal status with their personal identity.";"""undocumented people,"" ""immigrants"" ";April 30, 2024 by Heather Barbour in Diversity and Inclusion;https://blog.ongig.com/diversity-and-inclusion/biased-language-examples/
